PA,SZ,AG,Sex,TOD,Pop,Time
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,HDB 5-Room and Executive Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,Condominiums and Other Apartments,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,Condominiums and Other Apartments,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,HDB 3-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,HDB 5-Room and Executive Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,Condominiums and Other Apartments,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,HDB 5-Room and Executive Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,Condominiums and Other Apartments,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Females,Others,0,2022
